1457889010.000002,50.115032,-122.940879,753.670654,348.750000,0.980000,10.000000,8.000000
1457889034.000002,50.115125,-122.940862,764.740479,343.828125,0.340000,10.000000,8.000000
1457889044.000002,50.115025,-122.940807,762.532715,169.453125,0.350000,10.000000,8.000000
1457889097.000001,50.115118,-122.940814,761.236816,188.085938,0.220000,10.000000,8.000000
1457889176.000001,50.115212,-122.940838,758.318237,283.007812,0.540000,10.000000,8.000000
1457889202.000002,50.115263,-122.940719,755.341797,37.968750,1.510000,30.000000,12.000000
1457889206.000002,50.115316,-122.940697,754.360596,2.460938,0.000000,10.000000,12.000000
1457889246.000001,50.115352,-122.940836,755.012451,339.257812,0.290000,10.000000,8.000000
1457889277.000002,50.115238,-122.940797,753.500977,155.390625,0.000000,10.000000,8.000000
1457889313.000042,50.115147,-122.940762,747.919922,171.210938,0.190000,10.000000,8.000000
1457889321.000042,50.115053,-122.940724,749.985352,166.640625,0.500000,10.000000,8.000000
1457889385.000041,50.114970,-122.940784,752.251831,192.656250,1.450000,10.000000,4.000000
1457889399.000041,50.114881,-122.940823,752.734985,201.445312,1.160000,5.000000,4.000000
1457889404.000042,50.114790,-122.940862,753.888916,191.250000,1.810000,5.000000,3.000000
1457889411.000041,50.114695,-122.940895,751.211182,204.257812,0.910000,5.000000,3.000000
1457889425.000042,50.114627,-122.941011,751.686768,227.460938,1.250000,5.000000,3.000000
1457889433.000041,50.114556,-122.941106,750.443237,237.656250,1.240000,5.000000,3.000000
1457889440.000041,50.114491,-122.941208,751.567017,211.289062,1.280000,5.000000,3.000000
1457889448.000042,50.114413,-122.941279,751.266602,209.179688,1.490000,5.000000,6.000000
1457889455.000042,50.114322,-122.941343,753.788330,210.585938,1.160000,5.000000,4.000000
1457889464.000042,50.114248,-122.941440,753.452759,222.187500,1.210000,5.000000,4.000000
1457889471.000041,50.114176,-122.941531,754.106689,224.296875,1.100000,5.000000,3.000000
1457889479.000041,50.114101,-122.941635,754.408936,220.781250,1.320000,5.000000,3.000000
1457889487.000042,50.114023,-122.941734,753.319458,225.000000,1.430000,5.000000,3.000000
1457889495.000041,50.113952,-122.941827,755.437500,218.671875,1.050000,5.000000,4.000000
1457889505.000041,50.113895,-122.941952,756.557617,230.273438,1.090000,5.000000,4.000000
1457889514.000042,50.113811,-122.942013,754.303711,222.539062,1.040000,5.000000,6.000000
1457889521.000041,50.113736,-122.942109,754.393433,198.984375,0.590000,5.000000,6.000000
1457889674.000042,50.113677,-122.942218,754.470459,241.171875,1.520000,5.000000,4.000000
1457889678.000041,50.113663,-122.942373,752.445557,259.101562,3.290000,5.000000,4.000000
1457889685.000043,50.113732,-122.942511,751.384875,323.085938,3.240000,5.000000,4.000000
1457889689.000042,50.113829,-122.942527,748.584479,330.117188,1.860000,5.000000,6.000000
1457889692.000042,50.113864,-122.942658,747.084543,276.679688,4.580000,5.000000,6.000000
1457889694.000042,50.113858,-122.942840,745.289423,257.343750,6.420000,5.000000,6.000000
1457889697.000042,50.113809,-122.943008,744.076906,238.710938,3.030000,5.000000,4.000000
1457889700.000041,50.113810,-122.943172,742.907051,284.414062,4.810000,5.000000,6.000000
1457889703.000042,50.113893,-122.943294,740.382806,319.570312,4.070000,5.000000,6.000000
1457889707.000041,50.114003,-122.943368,738.574948,341.367188,3.820000,5.000000,8.000000
1457889710.000041,50.114097,-122.943378,735.871060,358.593750,3.600000,5.000000,8.000000
1457889713.000042,50.114190,-122.943366,733.322001,337.148438,3.040000,5.000000,8.000000
1457889716.000041,50.114215,-122.943517,731.225920,279.492188,3.610000,5.000000,8.000000
1457889720.000041,50.114253,-122.943660,727.677678,294.960938,2.600000,10.000000,6.000000
1457889724.000042,50.114329,-122.943827,725.579415,288.281250,5.360000,5.000000,6.000000
1457889726.000042,50.114369,-122.943958,724.591440,291.445312,5.100000,5.000000,6.000000
1457889728.000042,50.114428,-122.944071,721.788774,308.671875,5.190000,10.000000,6.000000
1457889758.000042,50.114502,-122.944151,721.768049,302.695312,1.520000,5.000000,4.000000
1457889763.000041,50.114556,-122.944303,721.539972,294.257812,2.710000,5.000000,3.000000
1457889767.000042,50.114623,-122.944434,720.702381,312.187500,2.590000,5.000000,3.000000
1457889771.000042,50.114709,-122.944521,717.417762,287.929688,2.490000,5.000000,3.000000
1457889775.000042,50.114718,-122.944697,716.200098,275.273438,3.370000,5.000000,3.000000
1457889778.000041,50.114773,-122.944844,714.149396,319.218750,3.990000,5.000000,3.000000
1457889781.000042,50.114842,-122.944993,712.695732,311.132812,4.110000,5.000000,3.000000
1457889783.000042,50.114924,-122.945073,711.395804,320.273438,4.110000,5.000000,3.000000
1457889785.000042,50.114976,-122.945215,709.886104,287.226562,5.950000,5.000000,3.000000
1457889788.000042,50.115024,-122.945378,708.386361,318.867188,4.690000,5.000000,3.000000
1457889791.000042,50.115137,-122.945479,707.004972,318.867188,5.380000,5.000000,3.000000
1457889793.000042,50.115205,-122.945614,705.910204,298.125000,6.050000,5.000000,3.000000
1457889796.000042,50.115271,-122.945774,703.772690,306.914062,3.790000,5.000000,3.000000
1457889799.000041,50.115352,-122.945855,701.961563,340.312500,3.250000,5.000000,3.000000
1457889802.000042,50.115431,-122.945978,700.286832,292.851562,3.860000,5.000000,3.000000
1457889806.000042,50.115445,-122.946116,699.125160,297.421875,2.600000,5.000000,3.000000
1457889809.000042,50.115510,-122.946247,697.658111,295.664062,4.280000,5.000000,3.000000
1457889812.000041,50.115584,-122.946399,696.207193,307.265625,4.630000,5.000000,3.000000
