4
1457889044.000002,1457891297.999915,10,2,1,Lift 1
1457891297.999915,1457891666.000026,8,2,1,Ski Run 1
1457891666.000026,1457892049.000019,10,2,2,Lift 2
1457892049.000019,1457894957.000039,8,2,2,Ski Run 2
1457894957.000039,1457895543.000000,10,2,3,Lift 3
1457895543.000000,1457896549.000021,8,2,3,Ski Run 3
1457896549.000021,1457897418.999773,10,2,4,Lift 4
1457897418.999773,1457898375.999971,8,2,4,Ski Run 4
1457898375.999971,1457899191.000073,10,2,5,Lift 5
1457899191.000073,1457900589.999963,8,2,5,Ski Run 5
1457900589.999963,1457900962.999420,10,2,6,Lift 6
1457900962.999420,1457906616.999964,8,2,6,Ski Run 6
